'杭州大江东产业集聚区管理条例',杭州市人民代表大会常务委员会,2017-04-07,现行有效,地方性法规及文件
'宁波国家高新技术产业开发区条例',宁波市人民代表大会常务委员会,2009-06-11,现行有效,地方性法规及文件
'关于加快医药产业发展的实施意见',中共台州市委,2015,现行有效,团体规定
'中共江北区经济和信息化委员会关于在党的群众路线教育实践活动中开展“产业转型升级促发展”、“企业扭亏增效重质量”行动的实施意见',中共重庆市江北区经济和信息化委员会,2014-03-27,现行有效,团体规定
'省发展改革委、省自然资源厅关于印发《浙江省重大产业项目申报及奖励管理办法》的通知',浙江省发展和改革委员会;浙江省自然资源厅,2020-12-31,现行有效,地方政府规章及文件
'省发展改革委、省经信厅、省生态环境厅、省应急管理厅关于印发加快推进浙江省长江经济带化工产业污染防治与绿色发展工作方案的通知',浙江省发展和改革委员会;浙江省经济和信息化厅;浙江省生态环境厅;浙江省应急管理厅,2020-09-18,现行有效,地方政府规章及文件
'浙江省人力资源和社会保障厅关于印发《浙江省省级人力资源服务产业园创建和评估办法(试行)》的通知',浙江省人力资源和社会保障厅,2020-09-07,现行有效,地方政府规章及文件
'浙江省人民政府关于印发浙江省实施制造业产业基础再造和产业链提升工程行动方案(2020—2025年)的通知',浙江省人民政府,2020-08-17,现行有效,地方政府规章及文件
'浙江省人民政府关于支持中国(浙江)自由贸易试验区油气全产业链开放发展的实施意见',浙江省人民政府,2020-07-15,现行有效,地方政府规章及文件
'浙江省林业局等8部门关于加快推进竹产业高质量发展的意见',浙江省林业局;浙江省发展和改革委员会;浙江省经济和信息化厅;浙江省科学技术厅;浙江省财政厅;浙江省自然资源厅;浙江省生态环境厅;浙江省交通运输厅,2020-06-29,现行有效,地方政府规章及文件
'省发展改革委关于印发嵊州省级高新技术产业园区增量配电网建设发展规划(2019-2025年)的通知',浙江省发展和改革委员会,2020-05-06,现行有效,地方政府规章及文件
'省发展改革委关于印发舟山市六横镇小郭巨临港产业园增量配电网建设发展规划(2019-2025年)的通知',浙江省发展和改革委员会,2020-05-06,现行有效,地方政府规章及文件
'关于加快发展康复辅助器具产业的实施意见',浙江省民政厅;浙江省发展和改革委员会;浙江省经济和信息化厅;浙江省教育厅;浙江省科学技术厅;浙江省财政厅;浙江省人力资源和社会保障厅;浙江省自然资源厅;浙江省住房和城乡建设厅;浙江省商务厅;浙江省卫生健康委员会;浙江省市场监督管理局;浙江省残疾人联合会;中国人民银行杭州中心支行;国家税务总局浙江省税务局;中国银行保险监督管理委员会浙江监管局,2020-01-20,现行有效,地方政府规章及文件
'浙江省人民政府关于加快推进5G产业发展的实施意见',浙江省人民政府,2019-04-24,现行有效,地方政府规章及文件
'金华市人民政府办公室关于大力推进粮食产业经济发展的实施意见',金华市人民政府办公室,2019-02-21,现行有效,地方政府规章及文件
'象山区人民政府办公室关于印发象山区健康旅游产业发展规划(2017-2025年)的通知',桂林市象山区人民政府办公室,2018-10-30,现行有效,地方政府规章及文件
'三门峡市人民政府印发关于鼓励、扶持市区工业企业搬迁至产业聚集区的实施意见',三门峡市人民政府,2018-10-18,现行有效,地方政府规章及文件
'关于印发金华市产业创新服务综合体建设行动计划(2018—2020年)的通知',金华市人民政府办公室,2018-10-12,现行有效,地方政府规章及文件
'省发展改革委关于印发《浙江省产业链精准招商工作指导意见(试行)》的通知',浙江省发展和改革委员会,2018-07-25,现行有效,地方政府规章及文件
'杭州市下城区人民政府关于促进村级股份经济合作社产业转型升级的实施意见',杭州市下城区人民政府,2018-05-30,现行有效,地方政府规章及文件
'杭州市下城区人民政府关于促进“5+1”产业发展的实施意见',杭州市下城区人民政府,2018-05-30,现行有效,地方政府规章及文件
'浙江统计局、浙江省科技厅关于印发《浙江省高新技术产业(制造业)统计分类目录(2018)》的通知',浙江省统计局;浙江省科学技术厅,2018-05-17,现行有效,地方政府规章及文件
'杭州市下城区人民政府关于打造电竞数娱小镇促进产业集聚发展的实施意见(试行)',杭州市下城区人民政府,2018-04-09,现行有效,地方政府规章及文件
'浙江省人民政府办公厅关于加快推进农业供给侧结构性改革大力发展粮食产业经济的实施意见',浙江省人民政府办公厅,2018-04-02,现行有效,地方政府规章及文件
'浙江省人民政府办公厅关于加快军民融合产业发展的实施意见',浙江省人民政府办公厅,2018-03-20,现行有效,地方政府规章及文件
'三门峡市人民政府办公室关于三门峡市现代物流重点产业转型发展的实施意见',三门峡市人民政府办公室,2018-01-20,现行有效,地方政府规章及文件
'温州市人民政府办公室转发市财政局《关于实施温州市政府产业基金财政鼓励政策意见》的通知',温州市人民政府办公室,2017-12-27,现行有效,地方政府规章及文件
'浙江省人民政府办公厅关于加快集成电路产业发展的实施意见',浙江省人民政府办公厅,2017-12-21,现行有效,地方政府规章及文件
'温州市人民政府办公室关于加快推进森林康养产业发展的意见',温州市人民政府办公室,2017-11-09,现行有效,地方政府规章及文件
'杭州市下城区人民政府办公室关于印发《下城区统筹使用省软件和信息服务产业示范基地建设资金管理办法》的通知',杭州市下城区人民政府办公室,2017-10-23,现行有效,地方政府规章及文件
'浙江省科技体制改革和创新体系建设领导小组办公室关于印发《浙江省产业创新服务综合体建设导则》的通知',浙江省科技体制改革和创新体系建设领导小组办公室,2017-10-19,现行有效,地方政府规章及文件
'浙江省科学技术厅关于公布2017年第一批浙江省高新技术产业投资高可靠性供电费用优惠项目名单的通知',浙江省科学技术厅,2017-10-09,现行有效,地方政府规章及文件
'浙江省农业厅关于印发浙江省粮油、蔬菜、食用菌产业技术项目实施方案(2017-2019年)的通知',浙江省农业厅,2017-09-12,现行有效,地方政府规章及文件
'浙江省科学技术厅、浙江省统计局关于印发《浙江省高新技术产业园区评价办法》的通知',浙江省科学技术厅;浙江省统计局,2017-09-11,现行有效,地方政府规章及文件
'省发展改革委关于将省重大产业项目纳入浙江省投资项目信息管理系统监管有关事项的通知',浙江省发展和改革委员会,2017-08-25,现行有效,地方政府规章及文件
'中国(浙江)自由贸易试验区管委会关于印发《中国(浙江)自由贸易试验区重点产业培育和扶持暂行办法》的通知',中国（浙江）自由贸易试验区管理委员会,2017-08-03,现行有效,地方政府规章及文件
'省发展改革委、省国土资源厅关于印发2017年浙江省重大产业项目名单(第一批)的通知',浙江省发展和改革委员会;浙江省国土资源厅,2017-07-17,现行有效,地方政府规章及文件
'省发展改革委、省国土资源厅关于印发2017年浙江省重大产业项目第一批预选项目名单的通知',浙江省发展和改革委员会;浙江省国土资源厅,2017-07-17,现行有效,地方政府规章及文件
'省发展改革委、省财政厅、省建设厅关于印发《浙江省静脉产业基地建设行动计划》的通知',浙江省发展和改革委员会;浙江省财政厅;浙江省住房和城乡建设厅,2017-07-14,现行有效,地方政府规章及文件
'省发展改革委、省国土资源厅关于抓紧做好2017年新增省重大产业项目(第二批)申报工作的通知',浙江省发展和改革委员会;浙江省国土资源厅,2017-06-22,现行有效,地方政府规章及文件
'转发国家发展改革委办公厅关于印发《政府出资产业投资基金信用信息登记指引(试行)》的通知',浙江省发展和改革委员会,2017-04-18,现行有效,地方政府规章及文件
'三门峡市人民政府办公室关于三门峡市加快精密量仪产业发展的意见',三门峡市人民政府办公室,2017-03-22,现行有效,地方政府规章及文件
'省发展改革委、省经信委关于印发《义甬舟开放大通道建设产业发展行动方案》的通知',浙江省发展和改革委员会;浙江省经济和信息化委员会,2017-03-22,现行有效,地方政府规章及文件
'浙江省农业厅关于加强农产品地理标志登记保护与产业培育工作的通知',浙江省农业厅,2017-03-09,现行有效,地方政府规章及文件
'三门峡市人民政府办公室关于加强产业集聚区安全生产工作的通知',三门峡市人民政府办公室,2017-02-27,现行有效,地方政府规章及文件
'浙江省科学技术厅、浙江省发展和改革委员会关于转发《科技部创新发展司、国家发展改革委高技术产业司关于进一步做好2017年创新型城市建设有关工作的通知》的通知',浙江省科学技术厅;浙江省发展和改革委员会,2017-02-13,现行有效,地方政府规章及文件
'转发国家发展改革委关于印发《政府出资产业投资基金管理暂行办法》的通知',浙江省发展和改革委员会,2017-02-10,现行有效,地方政府规章及文件
'省发展改革委、省国土资源厅关于做好省重大产业项目2017年度推进计划编制工作的通知',浙江省发展和改革委员会;浙江省国土资源厅,2017-02-07,现行有效,地方政府规章及文件
'转发《国家发展改革委关于浙江省温州民科产业基地开发有限公司发行公司债券核准批复》的通知',浙江省发展和改革委员会,2017-01-13,现行有效,地方政府规章及文件
'浙江省粮食安全和推进农业现代化工作协调小组农业产业化办公室关于认定2016年全省示范性农业全产业链的通知',浙江省粮食安全和推进农业现代化工作协调小组农业产业化办公室,2016-12-30,现行有效,地方政府规章及文件
'省发展改革委、省国土资源厅关于印发2016年浙江省重大产业项目名单(第二批)的通知',浙江省发展和改革委员会;浙江省国土资源厅,2016-12-30,现行有效,地方政府规章及文件
