'安徽省促进战略性新兴产业集聚发展条例',安徽省人民代表大会常务委员会,2017-05-31,现行有效,地方性法规及文件
'安徽省促进皖江城市带承接产业转移示范区发展条例',安徽省人民代表大会常务委员会,2011-06-27,现行有效,地方性法规及文件
'安徽省人民政府办公厅关于印发《建设康复辅助器具特色产业园推动高质量发展行动方案》的通知',安徽省人民政府办公厅,2020-11-16,现行有效,地方政府规章及文件
'关于印发《安徽省人力资源服务产业园管理办法(试行)》的通知',安徽省人力资源和社会保障厅,2020-08-06,现行有效,地方政府规章及文件
'安徽省人民政府关于促进装配式建筑产业发展的意见',安徽省人民政府,2020-04-02,现行有效,地方政府规章及文件
'安徽省人民政府关于支持人工智能产业创新发展若干政策的通知',安徽省人民政府,2020-03-07,现行有效,地方政府规章及文件
'安徽省人民政府办公厅关于印发支持生物基新材料产业发展若干政策的通知',安徽省人民政府办公厅,2020-03-05,现行有效,地方政府规章及文件
'安徽省人民政府办公厅关于印发《加快推进粮食产业高质量发展行动计划》的通知',安徽省人民政府办公厅,2020-01-21,现行有效,地方政府规章及文件
'安庆市人民政府关于印发安庆市2019年促进文化体育旅游产业发展若干政策的通知',安庆市人民政府,2019-08-15,已失效,地方政府规章及文件
'安徽省人民政府关于推进重大新兴产业基地高质量发展若干措施的通知',安徽省人民政府,2019-04-22,现行有效,地方政府规章及文件
'安庆市人民政府关于印发安庆市进一步支持新能源汽车产业发展和推广应用若干政策的通知',安庆市人民政府,2019-04-19,已失效,地方政府规章及文件
'安庆市人民政府办公室关于印发安庆市2019年加快推进首位产业发展的实施方案的通知',安庆市人民政府办公室,2019-04-10,现行有效,地方政府规章及文件
'安庆市人民政府关于加快推进机器人产业发展和推广应用的实施意见',安庆市人民政府,2018-12-26,现行有效,地方政府规章及文件
'安徽省人民政府办公厅关于印发安徽省县域特色产业集群(基地)建设方案的通知',安徽省人民政府办公厅,2018-12-22,现行有效,地方政府规章及文件
'滁州市人民政府关于印发支持机器人产业发展若干政策(试行)的通知',滁州市人民政府,2018-11-14,现行有效,地方政府规章及文件
'滁州市人民政府办公室关于印发滁州市中药产业发展“十三五”规划的通知',滁州市人民政府办公室,2018-10-28,现行有效,地方政府规章及文件
'安庆市人民政府办公室关于做优做大做强茶产业助推脱贫攻坚和农民增收的实施意见',安庆市人民政府办公室,2018-09-12,现行有效,地方政府规章及文件
'安徽省人民政府办公厅关于印发保险支持淮河行蓄洪区适应性农业产业发展工作方案的通知',安徽省人民政府办公厅,2018-08-30,现行有效,地方政府规章及文件
'安庆市人民政府办公室关于印发安庆市加快推进农业高新技术产业示范区和农业科技园区建设发展实施方案的通知',安庆市人民政府办公室,2018-08-29,现行有效,地方政府规章及文件
'关于印发全面打造水清岸绿产业优美丽长江(安徽)经济带治砂实施方案的通知',安徽省水利厅,2018-07-31,现行有效,地方政府规章及文件
'安徽省人民政府关于印发支持现代医疗和医药产业发展若干政策的通知',安徽省人民政府,2018-07-09,现行有效,地方政府规章及文件
'安庆市人民政府办公室关于开展安庆市“首位产业招商年”活动的实施意见',安庆市人民政府办公室,2018-07-07,现行有效,地方政府规章及文件
'安徽省人民政府办公厅关于印发安徽省机器人产业发展规划(2018—2027年)的通知',安徽省人民政府办公厅,2018-07-05,现行有效,地方政府规章及文件
'安徽省人民政府关于印发支持机器人产业发展若干政策的通知',安徽省人民政府,2018-07-02,现行有效,地方政府规章及文件
'六安市人民政府关于印发六安市支持高新技术产业开发区发展的实施意见的通知',六安市人民政府,2018-06-29,现行有效,地方政府规章及文件
'滁州市人民政府关于印发《凤阳县花园湖行蓄洪区适应性产业发展规划(2018-2020年)》的通知',滁州市人民政府,2018-06-14,现行有效,地方政府规章及文件
'安徽省人民政府办公厅关于加快推进农业高新技术产业示范区和农业科技园区建设发展的实施意见',安徽省人民政府办公厅,2018-06-11,现行有效,地方政府规章及文件
