'关于加强区、县（市）、开发区产业工会建设的指导意见',沈阳市总工会,2009-12-02,现行有效,团体规定
'关于印发《丹东边境经济合作区(临港产业园区)2009年组织工作要点》的通知',中共丹东边境经济合作区委,2009-04-07,现行有效,团体规定
'沈阳市人民政府办公室关于印发沈阳市文化旅游产业服务质量提质升级工作方案的通知',沈阳市人民政府办公室,2020-03-26,现行有效,地方政府规章及文件
'辽宁省人民政府关于加快推进农业机械化和农机装备产业转型升级的实施意见',辽宁省人民政府,2019-12-31,现行有效,地方政府规章及文件
'沈阳市人民政府关于印发沈阳市未来产业培育和发展规划(2018-2035年)的通知',沈阳市人民政府,2018-12-16,现行有效,地方政府规章及文件
'锦州市人民政府办公室关于加快推进农业供给侧结构性改革大力发展粮食产业经济的实施意见',锦州市人民政府办公室,2018-12-07,现行有效,地方政府规章及文件
'沈阳市人民政府办公厅关于印发沈阳市加快新能源汽车推广促进产业做大做强实施方案的通知',沈阳市人民政府办公厅,2018-11-25,已失效,地方政府规章及文件
'大连市人民政府办公厅关于加快推进大樱桃产业发展的实施意见',大连市人民政府办公厅,2018-11-20,现行有效,地方政府规章及文件
'大连市人民政府办公厅关于加快新能源汽车产业创新发展的指导意见',大连市人民政府办公厅,2018-10-25,现行有效,地方政府规章及文件
'营口市人民政府办公室关于中国(辽宁)自由贸易试验区营口片区促进企业产业转型升级的意见',营口市人民政府办公室,2018-09-30,已失效,地方政府规章及文件
'瓦房店市人民政府办公室关于印发瓦房店市2018年产业扶贫项目实施与扶贫专项资金使用管理方案的通知',瓦房店市人民政府办公室,2018-09-30,现行有效,地方政府规章及文件
'本溪市人民政府办公厅关于加快推进农业供给侧结构性改革大力发展粮食产业经济的实施意见',本溪市人民政府办公厅,2018-09-28,现行有效,地方政府规章及文件
'马鞍山市人民政府关于印发支持新能源汽车产业创新发展和推广应用若干政策的通知',马鞍山市人民政府,2018-09-10,现行有效,地方政府规章及文件
'辽宁省人民政府关于赋予抚顺高新技术产业开发区管委会、抚顺经济开发区管委会、抚顺望花经济开发区管委会部分省级行政职权的决定',辽宁省人民政府,2018-09-07,现行有效,地方政府规章及文件
'沈阳市人民政府办公厅关于印发沈阳市加快推进沈阳国家通用航空产业综合示范区建设工作方案的通知',沈阳市人民政府办公厅,2018-09-04,现行有效,地方政府规章及文件
'铁岭市人民政府办公室关于加快推进农业供给侧结构性改革大力发展粮食产业经济的实施意见',铁岭市人民政府办公室,2018-08-15,现行有效,地方政府规章及文件
'辽宁省人民政府办公厅关于加快发展牛羊驴特色产业的意见',辽宁省人民政府办公厅,2018-07-23,现行有效,地方政府规章及文件
'铁岭市人民政府办公室关于印发铁岭市发展现代物流产业实施意见的通知',铁岭市人民政府办公室,2018-07-20,现行有效,地方政府规章及文件
'沈阳市人民政府关于印发沈阳市加快推进军民融合产业发展若干政策措施的通知',沈阳市人民政府,2018-06-25,已失效,地方政府规章及文件
