'关于三台县产业扶贫重点工作责任分工的通知',中共绵阳市三台县委农村工作领导小组,2017-03-27,现行有效,团体规定
'中共蓬溪县天福镇委员会关于印发《天福镇农村产业党建工作实施意见》的通知',中共遂宁市蓬溪县天福镇委员会,2014-05-23,现行有效,团体规定
'关于印发《平昌县佛头山文化产业园党的群众路线教育实践活动宣传工作方案》的通知',中共巴中市平昌县佛头山文化产业园党委,2014-03-12,现行有效,团体规定
'平昌县佛头山文化产业园党委关于印发《“转作风.惠民生”活动实施方案》的通知',中共巴中市平昌县佛头山文化产业园管理委员会委员会,2013-12-04,现行有效,团体规定
'中共四川自贡高新技术产业园区工作委员会关于印发《2013年全区党建工作要点》的通知',中共四川自贡高新技术产业园区工作委员会,2013-05-23,现行有效,团体规定
'中共四川自贡高新技术产业园区工作委员会关于印发《向非公有制经济组织选派党建工作指导员工作方案》的通知',中共自贡高新技术产业园区工作委员会,2013-05-14,现行有效,团体规定
"'中共三台县古井镇委员会关于开展远程教育""产业富民""活动的实施意见'",中共绵阳市三台县古井镇委员会,2009,现行有效,团体规定
'关于转发《中华全国总工会关于加强和改进新形势下产业工会工作的意见》的通知',四川省总工会,2008-10-08,现行有效,团体规定
'四川省人民政府关于印发四川省支持新能源与智能汽车产业发展若干政策措施的通知',四川省人民政府,2020-09-29,现行有效,地方政府规章及文件
'四川省人民政府办公厅关于促进全民健身和体育消费推动体育产业高质量发展的实施意见',四川省人民政府办公厅,2020-07-28,现行有效,地方政府规章及文件
'四川省人民政府关于加快推进农业机械化和农机装备产业转型升级的实施意见',四川省人民政府,2019-09-02,现行有效,地方政府规章及文件
'眉山市人民政府办公室关于眉山市促进5G产业发展的意见',眉山市人民政府办公室,2019-08-29,现行有效,地方政府规章及文件
'眉山市人民政府办公室关于印发眉山高新技术产业园区创建国家高新技术开发区实施方案的通知',眉山市人民政府办公室,2019-08-08,现行有效,地方政府规章及文件
'四川省人民政府办公厅转发《四川省水电消纳产业示范区建设实施方案》的通知',四川省人民政府办公厅,2019-07-31,现行有效,地方政府规章及文件
'德阳市人民政府办公室关于印发《德阳市文化旅游产业融合发展扶持奖励办法(试行)》的通知',德阳市人民政府办公室,2019-07-22,现行有效,地方政府规章及文件
'广安市中药材种植产业发展规划(2018—2022年)',广安市人民政府办公室,2019-05-21,现行有效,地方政府规章及文件
'广安市人民政府办公室关于大力发展花卉苗木产业的实施意见',广安市人民政府办公室,2019-05-21,现行有效,地方政府规章及文件
'德阳市人民政府办公室关于印发《德阳市优化中心城区产业布局支持工业用地“退二进三”管理办法》的通知',德阳市人民政府办公室,2019-05-06,现行有效,地方政府规章及文件
'自贡市人民政府关于印发《自贡市促进文化创意产业发展若干政策(试行)》的通知',自贡市人民政府,2019-04-09,现行有效,地方政府规章及文件
'自贡市人民政府办公室关于印发《自贡老工业城市产业转型升级示范区建设2019年工作要点》的通知',自贡市人民政府办公室,2019-03-18,现行有效,地方政府规章及文件
'青川县人民政府办公室关于印发青川县支持再生有色金属产业发展五条措施的通知',广元市青川县人民政府办公室,2019-03-04,现行有效,地方政府规章及文件
'广安市人民政府关于印发加快发展玄武岩纤维新材料产业的意见的通知',广安市人民政府,2019-02-19,现行有效,地方政府规章及文件
