'西藏自治区人民政府办公厅关于加快发展体育竞赛表演产业的实施意见',西藏自治区人民政府办公厅,2020,现行有效,地方政府规章及文件
'拉萨市人民政府办公厅关于印发《拉萨市重点产业项目推进工作成效考核办法(试行)》的通知',拉萨市人民政府办公厅,2017-10-17,现行有效,地方政府规章及文件
'拉萨市人民政府办公厅关于《拉萨市人民政府关于加快推进净土健康产业发展的若干政策意见(试行)》的补充意见',拉萨市人民政府办公厅,2015-12-29,现行有效,地方政府规章及文件
'拉萨市人民政府办公厅关于转发《拉萨市首届净土健康产业优良奶牛竞赛活动筹备方案》的通知',拉萨市人民政府办公厅,2014-07-30,现行有效,地方政府规章及文件
'西藏自治区人民政府关于深化流通体制改革加快流通产业发展的实施意见',西藏自治区人民政府,2014-04-09,现行有效,地方政府规章及文件
'拉萨市人民政府关于印发《〈拉萨市人民政府关于加快推进净土健康产业发展的若干政策意见(试行)〉实施细则》的通知',拉萨市人民政府,2014-04-01,现行有效,地方政府规章及文件
'西藏自治区人民政府关于加快发展节能环保产业的实施意见',西藏自治区人民政府,2014,现行有效,地方政府规章及文件
'西藏自治区人民政府关于加快天然饮用水产业发展的意见',西藏自治区人民政府,2014,现行有效,地方政府规章及文件
'关于加强农牧业特色产业扶持资金滚动回收管理工作的意见',西藏自治区人民政府办公厅,2011-04-13,现行有效,地方政府规章及文件
'关于自治区承接产业转移工作的意见',西藏自治区人民政府,2011-03-21,现行有效,地方政府规章及文件
