'山东省人民政府办公厅关于加快食品产业高质量发展若干措施的通知',山东省人民政府办公厅,2020-12-26,现行有效,地方政府规章及文件
'山东省工业和信息化厅关于印发《山东省特色产业集群管理办法》的通知',山东省工业和信息化厅,2020-09-04,现行有效,地方政府规章及文件
'山东省人民政府办公厅印发关于加快优质专用小麦产业创新发展若干措施的通知',山东省人民政府办公厅,2020-08-19,现行有效,地方政府规章及文件
'山东省人民政府办公厅关于印发山东省氢能产业中长期发展规划(2020-2030年)的通知',山东省人民政府办公厅,2020-06-17,现行有效,地方政府规章及文件
'临沂市人民政府关于印发《临沂市新型产业用地管理暂行办法》的通知',临沂市人民政府,2020-05-28,现行有效,地方政府规章及文件
'山东省人民政府办公厅关于印发山东省推动苹果产业高质量发展行动计划的通知',山东省人民政府办公厅,2020-03-22,现行有效,地方政府规章及文件
'山东省人民政府办公厅关于印发济青烟国际招商产业园建设行动方案(2020-2025年)的通知',山东省人民政府办公厅,2020-03-22,现行有效,地方政府规章及文件
'关于支持机器人产业加快发展若干政策措施的通知',青岛市人民政府办公厅,2020-03-18,现行有效,地方政府规章及文件
'山东省人民政府办公厅关于应对新冠肺炎疫情影响促进文化和旅游产业健康发展的若干意见',山东省人民政府办公厅,2020-03-08,现行有效,地方政府规章及文件
'关于支持生物医药产业高质量发展若干政策措施的通知',青岛市人民政府办公厅,2020-02-06,现行有效,地方政府规章及文件
'青岛市人民政府关于向青岛轨道交通产业示范区赋予市级自然资源和规划管理权限的决定',青岛市人民政府,2020-01-12,现行有效,地方政府规章及文件
'山东省人民政府办公厅关于加快推动软件产业高质量发展的实施意见',山东省人民政府办公厅,2020-01-10,现行有效,地方政府规章及文件
'关于加快推进农业机械化和农机装备产业转型升级的实施意见',青岛市人民政府,2019-12-17,现行有效,地方政府规章及文件
'山东省人民政府办公厅关于加快5G产业发展的实施意见',山东省人民政府办公厅,2019-11-14,现行有效,地方政府规章及文件
'山东省市场监督管理局关于印发《山东省广告产业园区认定管理办法》的通知',山东省市场监督管理局,2019-10-18,现行有效,地方政府规章及文件
'关于加快新能源汽车产业发展若干政策措施的通知',青岛市人民政府办公厅,2019-09-18,现行有效,地方政府规章及文件
'关于修订广州南沙新区(自贸片区)促进旅游产业发展扶持办法的通知',广州市南沙区文化广电旅游体育局,2019-07-25,现行有效,地方政府规章及文件
'广州市南沙区人民政府办公室关于修订广州南沙新区(自贸片区)促进邮轮产业发展扶持办法的通知',广州市南沙区人民政府办公室,2019-07-18,现行有效,地方政府规章及文件
'山东省人民政府关于加快推进农业机械化和农机装备产业转型升级的实施意见',山东省人民政府,2019-07-11,现行有效,地方政府规章及文件
'山东省人民政府关于大力推进“现代优势产业集群+人工智能”的指导意见',山东省人民政府,2019-05-17,现行有效,地方政府规章及文件
'山东省农业农村厅关于印发《水果产业防灾减灾工作指导意见》的通知',山东省农业农村厅,2019-04-19,现行有效,地方政府规章及文件
'关于印发青岛市超高清视频产业发展行动计划(2019—2022年)的通知',青岛市人民政府办公厅,2019-04-19,现行有效,地方政府规章及文件
